Unnamed: 0,ID,type,statement,question_1,question_2,option_1,option_2,option_3,question_3,constractive_statement,question_4,constructive_question
16,16,Spatial,kiwi on upper part of the image,Is the kiwi on the lower part of the image?, Which part in of the picture is the kiwi located?, kiwi on upper part of the image, kiwi on lower part of the image, kiwi on the middle of the image, Please describe where the kiwi is located in the image (e.g. top left or bottom right or etc.),The kiwi is on the lower part of the image.,Is the orange on the left side of the image?,Is the kiwi located on the upper part of the image?
17,17,Spatial,kiwi on lower part of the image,Is the kiwi on the upper part of the image?, Which part in of the picture is the kiwi located?, kiwi on lower part of the image, kiwi on upper part of the image, kiwi on the middle of the image, Please describe where the kiwi is located in the image (e.g. top left or bottom right or etc.),The kiwi is on the upper part of the image.,Is the orange on the left side of the image?,Is the kiwi located on the lower part of the image?
18,18,Spatial,a house on the left of the tree,Is there a house between two trees in this picture?, Where is the house in the picture relative to the tree(s)?, house on the left of the tree, house between two trees, house on the right of the tree, Please describe the relative positions of the house and the trees in the image.,There is a house between two trees in this picture.,Is there a lake between two trees in this picture?,Is there a house on the left of the tree?
19,19,Spatial,light directly above the bed,Is the light adjacently above the bed in this picture?, Where is the light in the picture relative to the bed?, light directly above the bed, light adjacently above the bed, there is no light visible in this image, Please describe the relative positions of the lights and the beds in the image.,The light is adjacently above the bed in this picture.,Is the light adjacently above the chair in this picture?,Is there a light directly above the bed?
20,20,Spatial,butterfly under the flower,Is there a butterfly on top of the flower in this picture?, Where is the butterfly in the picture relative to the flower?, butterfly under the flower, butterfly on top of the flower, there is no butterfly visible in this image, Please describe the relative positions of the butterfly and the flowers in the image.,There is a butterfly on top of the flower in this picture.,Is there a butterfly on top of the tree in this picture?,Is this a picture of a butterfly under the flower?
21,21,Spatial,Christmas tree in front of a window,Is there a Christmas tree between two windows in this picture?, Where is the Christmas tree in the picture relative to the window(s)?, Christmas tree in front of a window, Christmas tree between two windows, Christmas tree outside the window, Please describe in detail the relative locations of the windows and the Christmas tree in this image.,There is a Christmas tree between two windows in this picture.,Is there a Christmas tree between two doors in this picture?,Is this a picture of a Christmas tree in front of a window?
22,22,Spatial,Christmas tree between two windows,Is there a Christmas tree in front of a window in this picture?, Where is the Christmas tree in the picture relative to the window(s)?, Christmas tree between two windows, Christmas tree in front of a window, Christmas tree outside the window, Please describe in detail the relative locations of the windows and the Christmas tree in this image.,There is a Christmas tree in front of a window in this picture.,Is there a Christmas tree in front of a door in this picture?,Is this a Christmas tree between two windows?
23,23,Spatial,juice and carrots on different levels of the surface,Are the juice and carrots on the same level of the surface in this picture?, What's the level of surface are the juice and carrots placed in this picture?, juice and carrots on different levels of the surface, juice and carrots on the same level of a surface, ther is no carrot visible in this image, Please describe the surfaces that juice and carrots are placed in this image.,The juice and carrots are on the same level of the surface in this picture.,Are the juice and apples on the same level of the surface in this picture?,Is this a picture of juice and carrots on different levels of the surface?
24,24,Spatial,eggs in the bottom right corner,Are the eggs in the bottom left corner of this picture?, Which part in of the picture are the eggs located (bottom? top? and etc.?), in the bottom right corner, in the bottom left corner, in the top left corner, Please describe the image and tell me Which part in of the picture are the eggs located (bottom left? top right? and etc.?),The eggs are in the bottom left corner of this picture.,Are the eggs in the top left corner of this picture?,Is this a picture of eggs in the bottom right corner?
25,25,State,butterfly with wings closed,Are the butterfly's wings open in this picture?, What is the state of the butterfly's wings in this image?, wings closed, wings open, there is no visible wings of this butterfly in this picture, Please describe the state of the wings of the butterfly (closed or open.),The butterfly's wings are open in this picture.,Are the butterfly's wings blue in this picture?,Is this a picture of a butterfly with its wings closed?
26,26,State,door on the truck open,Is the door on the truck closed in this picture?, What is the state of the truck's doors in this image?, door on the truck open, door on the truck closed, there is no visible doors of turck in this image, Please describe the state of truck's doors in detail (open or closed),The door on the truck is closed in this picture.,Is the window on the truck closed in this picture?,Is the door on the truck open?
27,27,State,door on the truck closed,Is the door on the truck open in this picture?, What is the state of the truck's doors in this image?, door on the truck closed, door on the truck open, there is no visible doors of turck in this image, Please describe the state of truck's doors in detail (open or closed),The door on the truck is open in this picture.,Is the window on the truck open in this picture?,Is the door on the truck closed?
28,28,State,woman about to set the volleyball,Is the woman about to bump the volleyball in this picture?, What is the woman's move in this image?, woman about to set the volleyball, woman about to bump the volleyball, woman about to knick the volleyball, Please describe the woman's move in detail and tell me is she about to set the ball or bump the ball.,The woman is about to bump the volleyball in this picture.,Is the woman about to kick the volleyball in this picture?,Is this a woman about to set the volleyball?
29,29,Structural Character,people shaped gingerbread,Is the gingerbread shaped like a Christmas tree in this picture?, What's the shape of the gingerbread in this image?, human-shaped gingerbread, christmas tree-shaped gingerbread, penguin-shaped gingerbread, Please describe the shapes of the gingerbread in this image in detail.,The gingerbread is shaped like a Christmas tree in this picture.,Is the gingerbread shaped like a snowman in this picture?,Is this a picture of gingerbread shaped like people?
30,30,Structural Character,glasses of juice,Are there jars of juice in this picture?, What kind of container is the juice in?, glasses, jars, bags, Please describe the containers of the drinks in detail.,There are jars of juice in this picture.,Are there bottles of water in this picture?,Is this a picture of glasses of juice?
31,31,Structural Character,jars of juice,Are there glasses of juice in this picture?, What kind of container is the juice in?, jars, glasses, bags, Please describe the containers of the drinks in detail.,There are glasses of juice in this picture.,Are there cups of coffee in this picture?,Is this a picture of jars of juice?
32,32,Structural Character,easter egg with flat pattern,Is there an Easter egg with a raised pattern in this picture?, What's the pattern of the Easter egg in this image?, flat pattern, raised pattern, fish-like pattern, Please describe the pattern of the Easter eggs and tell me whether they have flat pattern or raised pattern.,There is an Easter egg with a raised pattern in this picture.,Is there a Christmas ornament with a raised pattern in this picture?,Is this an Easter egg with a flat pattern?
33,33,Structural Character,a cake with a slice missing,Is this a slice of cake in this picture?, What's the shape and condition of the cake in this image?, a cake with a slice missing, a slice of cake, there is no visible cake in this image, Please describe the cake's shape and condition in detail.,This is a picture of a slice of cake.,Is this a whole pie in this picture?,Is this a picture of a cake with a slice missing?
34,34,Structural Character,a butterfly with wings closed,Is the butterfly with its wings open in this picture?, What is the state of the butterfly's wings in this image?, wings closed, wings open, wings flapping, Please describe the state of the wings of the butterfly (closed or open.),The butterfly has its wings open in this picture.,Is the butterfly flying in this picture?,Is this a picture of a butterfly with its wings closed?
35,35,Structural Character,egg with bunny painted,Is there an egg with dots painted on it in this picture?,  What's the pattern of the Easter egg in this image?, bunny painted, dots painted, penguin painted, Please describe the patterns of the Easter eggs in this image in detail.,There is an egg with dots painted on it in this picture.,Is there an egg with stripes painted on it in this picture?,Is this an egg with a bunny painted on it?
36,36,Structural Character,elephant with relatively straight but slightly curve trunks,Is the elephant with very curved trunk in this picture?,  What's the shape of the elephant's trunk in this image?, relatively straight but little curved, very curved trunk, no trunk, Please describe the elepant's trunk in this image in detail.,The elephant with a very curved trunk is in this picture.,Is the giraffe with a curved neck in this picture?,Is this a picture of an elephant with relatively straight but little curved trunks?
37,37,Structural Character,dense webs,Are there sparse webs in this picture?,  How dense is the spider web in this image?, dense, sparse, there is no visible webs in this image, Please describe the spider web in the image in detail and tell about it density.,There are sparse webs in this picture.,Are there sparse leaves in this picture?,Is this a picture of dense webs?
38,38,Structural Character,center of the flower protruding,Is the center of the flower indenting in this picture?, What's the shape of the flower's center(protruding? indenting? and etc.), center of the flower protruding, center of the flower indenting, center of the flower is flat, Please describe the concave and convex condition of the center of the flower (is protruding or indenting?),The center of the flower is indenting in this picture.,Is the center of the sunflower indenting in this picture?,Is the center of the flower protruding?
39,39,Structural Character,center of the flower indenting,Is the center of the flower protruding in this picture?, What's the shape of the flower's center(protruding? indenting? and etc.), center of the flower indenting, center of the flower protruding, center of the flower is flat, Please describe the concave and convex condition of the center of the flower (is protruding or indenting?),The center of the flower is protruding in this picture.,Is the center of the flower flat in this picture?,Is this the center of the flower indenting?
40,40,Structural Character,a jar of drink,Is there a glass of drink in this picture?, What kind of container is the drink in?, jar, glassses, bag, Please describe the containers of the drinks in detail.,There is a glass of drink in this picture.,Is there a plate of food in this picture?,Is this a jar of drink?
41,41,Text,"A poster says ""APPY EASTE""","Does the poster say ""Happy Easter"" in the picture?", What text is in the picture?," poster says """"APPY EASTE"""""," poster say ""Happy Easter"""," poster say ""Happy Birthday""", Please describe the words shown in this image.,"The poster says ""Happy Easter"" in the picture.",Is the poster advertising a Christmas sale in the picture?,"Is this a poster that says ""APPY EASTE""?"
42,42,Text,"letter ""N"" in the bottom left","Is the letter ""M"" in the bottom left of this picture?", Where is the text 'N' located in the picture?," letter ""N"" in the bottom left"," letter ""N"" in the bottom right"," there is no visible letter ""M"" in this image"," Please describe where is the button N"" in this image(if it is visible in this image)""","The letter ""M"" is in the bottom left of this picture.","Is the letter ""Z"" in the bottom left of this picture?","Is the letter ""N"" in the bottom left?"
43,43,Text,"letter ""M"" in the bottom left","Is the letter ""N"" in the bottom left of this picture?", Where is the text 'M' located in the picture?," letter ""M"" in the bottom left","there is no visible letter ""M"," letter ""N"" in the bottom left"," Please describe where is the button M"" in this image(if it is visible in this image)""","The letter ""N"" is in the bottom left of this picture.","Is the letter ""Z"" in the bottom left of this picture?","Is the letter ""M"" in the bottom left?"
44,44,Text,"center says ""OK/SELECT""","Does the center say ""OK"" in this picture?", What text is in the center button in this picture?," center button says ""OK/SELECT"""," center says ""OK"""," center says ""SELECT""", Please describe the words on the center button of this remote control.,"The center says ""OK"" in this picture.","Is the center labeled ""CANCEL"" in this picture?","Is the center button labeled ""OK/SELECT""?"
45,45,Text,"center says ""OK""","Does the center say ""OK/SELECT"" in this picture?", What text is in the center button in this picture?," center says ""OK"""," center button says ""OK/SELECT"""," center says ""SELECT""", Please describe the words on the center button of this remote control.,"The center says ""OK/SELECT"" in this picture.","Is the center labeled ""CANCEL"" in this picture?","Is the center saying ""OK""?"
46,46,Text,"letters above the space are ""VBN""","Are the letters XCVBN"" above the space in this picture?""", What is the text above the space button in this picture?," letters above the space are ""VBN"""," letters above the space are ""XCVBN"""," letters above the space are ""BTD"""," Please describe the visible buttons above the ""space"" in this image.","The letters above the space ""XCVBN"" are in this picture.","Is the number above the space ""12345"" in this picture?","Is this a picture showing the letters ""VBN"" above the space?"
47,47,number,"clock with 3 pointers""""""", Is this a clock with two pointers?, How many pointers are there in the clock?,3,2,1, Please describe the number of pointers of this clock in detail.,This is a clock with two pointers.,Is this a clock with one pointer?,Is this a clock with 3 pointers?
48,48,color, syringe filled with turbid white liquid, Is this a syringe filled with blue liquit?, What color is the liquid in the syringe?,turbid (white), blue, red, Please describe the color of the liquid in the syring in detail.,This is a syringe filled with blue liquid.,Is this a syringe filled with clear water?,Is this a syringe filled with a turbid white liquid?
49,49,Spatial, a snake lying on the hand, Is the samll snake wrapped around a finger?, How many fingers does this small snake wrapped around in this image?,0,1,2, Please describe the way that the small snake held on the hand.,The small snake is wrapped around a finger.,Is the small snake wrapped around a wrist?,Is this a picture of a snake lying on a hand?
50,50,State, the door at the back of the ambulance is open, Are the doors at the back of the ambulance closed?, What is the state of doors at the back of the ambulance?, open, close, we don't know, Please describe the stete of the ambulance's rear door.,The doors at the back of the ambulance are closed.,Are the doors at the back of the bus closed?,Is the door at the back of the ambulance open?
51,51,Structural Character, the onld-fashioned camera with 2 lens rings, Is this a old-fashioned camera with only one lens ring?, How many lens rings does this camera have? ,2,1,0, Please describe the number of lens rings of the camera in this image in detail.,This is an old-fashioned camera with only one lens ring.,Is this a modern camera with a touchscreen display?,Is this an old-fashioned camera with 2 lens rings?
52,52,Structural Character, the motocycle racer wearing a sleeveless racing suit, Is this motorcycle racer wearing a long-sleeved motorcycle racing suit?, What is the motorcycle rider wearing on their upper body?, sleeveless motorcycle racing suit, long-sleeved motorcycle racing suit, nothing he is naked, Please describe this motocycle racer's wearing on his upper body.,This motorcycle racer is wearing a long-sleeved motorcycle racing suit.,Is this motorcycle racer wearing a red helmet and shorts?,Is the motorcycle racer wearing a sleeveless racing suit?
53,53,Structural Character, 2 watches, Is this one watch with dual dials?, How many watches are there in the image? ,2,1,3, Please describe the watch(es) there in detail.,This is a watch with dual dials.,Is this one watch with a single dial?,Is this a picture of 2 watches?
54,54,Structural Character, a tank with no barrel parked indoors, Is this a photo of a tank with a long barrel parked indoors?, What type of gun barrel does this tank have?, No vidible gun barrel, Long gun barrel, Short gun barrel, Please describe the tank's barrel in detail.,This is a photo of a tank with a long barrel parked indoors.,Is this a photo of a bicycle parked outdoors?,Is this a tank with no barrel parked indoors?
55,55, State, a clean baseball on the ground, Is this a photo of a muddy baseball on the ground?, What is the condition of this baseball?, Clean, Muddy, This is not a baseball, Please describe the cleaness of this baseball.,This is a photo of a muddy baseball on the ground.,Is this a photo of a muddy soccer ball on the ground?,Is this a clean baseball on the ground?
56,56, State, a gun without a bayonet, Is this a photo of a man in military uniform holding a gun with a bayonet?, What is held by this man in the military uniform?, A gun without bayonet, A gun with bayonet, A bayonet, Please describe the gun and bayonet (if there is) held by the man in detail .,This is a photo of a man in military uniform holding a gun with a bayonet.,Is this a photo of a man in civilian clothes holding a sword?,Is this a gun without a bayonet?
57,57, Structural Character, an animal with curved tail standing on the grassland, Is this a photo of an animal with straight tail standing on the grassland?, What shape is the tail of this animal standing on the grassland?, Curved, Straight, It doesn't have a tail, Please describe the shape of the animal's tail in detail and tell me whether it is curved or straight.,This is a photo of an animal with a straight tail standing on the grassland.,Is this a photo of an animal with straight tail swimming in the ocean?,Is this an animal with a curved tail standing on the grassland?
58,58, Spatial, A dog lying on a carpet with a paerson, Is this a photo of a dog lying in bed with a person?, What is the dog with the person lying on?, Carpet, Bed, Sofa, Please describe the image and tell me where the dog is lying?,This is a photo of a dog lying in bed with a person.,Is this a photo of a cat sitting on a sofa alone?,Is this a picture of a dog lying on a carpet with a person?
59,59, number, 2 monkey on a tree branch, Is this a picture of a monkey on a tree branch?, How many monkeys on this tree branch in the image?,2,1,3, Please describe the monkeys in the image and tell me now many monkeys are there on the branch.,This is a picture of a monkey on a tree branch.,Is this a picture of a bird on a tree branch?,Is this a picture of 2 monkeys on a tree branch?
60,60, Camera Perspective, a photo of the front of a photocopier with an angle, Is this a photo of the front of a photocopier upright?, What's the camera perspective of this photocopier?, Shows front of a photocopier from an angle, Shows front of a photocopier upright, Shows back of a photocopier from an angle, Please describe the camera perspective of the photocopier (from an angle? upright? and etc.).,This is a photo of the front of a photocopier upright.,Is this a photo of the back of a refrigerator upright?,Is this a photo of the front of a photocopier taken at an angle?
61,61, State, sea turtle swimming with its front flippers pointing downwards,Is this a photo of a sea turtle swimming with its flippers raised?,What is the front flippers of the turtle doing in the photo?, Pointing downwards, Raised up, Tucked into its shell, Please describe the turtle's flippers in detail and tell me where its front flippers are pointing.,This is a photo of a sea turtle swimming with its flippers raised.,Is this a photo of a dolphin jumping out of the water?,Is this a sea turtle swimming with its front flippers pointing downwards?
62,62, number, 2 bunches of bananas, Is this a picture of a bunch of bananas?, How many buches of bananas are there in the image?,2,1,3, Please describe the image in detail and tell me how many buches of bananas are there.,This is a picture of a bunch of bananas.,Is this a picture of a single apple?,Is this a picture of 2 bunches of bananas?
63,63, Camera Perspective, Old photo with a vertical composition, Is this an old photo with a horizontal composition?, What is the composition of this old photo?, Vertical, Horizontal, Close-up shot, Please describe the composition of the picture and tell me if it is vertical composition or horizontal composition or etc.,This is an old photo with a horizontal composition.,Is this a new photo with a horizontal composition?,Is this an old photo with a vertical composition?
64,64, Color, a dog with blue eyes, Is this a picture of a dog with red eyes?, What color is the eyes of this dog in this picture?, Blue, Red, Dark-brown, Please describe the color of the dog's eyes.,This is a picture of a dog with red eyes.,Is this a picture of a cat with red eyes?,Is this a dog with blue eyes?
65,65, Color, gymnast wearing a white and red uniform, Is this a picture of a gymnast wearing a white and blue gymastics uniform?, What color is the uniform that this gumnast is wearing?, White and red, White and blue, White and black, Please describe the uniform that the gumnast is wearing in detail.,This is a picture of a gymnast wearing a white and blue gymnastics uniform.,Is this a picture of a gymnast wearing a green and yellow gymnastics uniform?,Is this a gymnast wearing a white and red uniform?
66,66, Spatial, the dog standing on the water, Is this dog standing on the sands?, Where is this dog standing on?, Water, Sands, We don't know, Please describe where the dog is standing.,This dog is standing on the sands.,Is this dog standing on the grass?,Is this a picture of the dog standing on the water?
67,67, Structural Character, a cat not wearing a collar, Is this a picture of a cat wearing a collar?, What is the cat wearing?, Nothing, A collar, a cap, Please describe the cat's fur and wearing.,This is a picture of a cat wearing a collar.,Is this a picture of a dog wearing a hat?,Is this a cat not wearing a collar?
68,68, number, Five cheetahs in the picture, Is this a photo of four cheetahs?, How many cheetahs are there in the image?, Five, Four, one, Please describe the cheetahs you can see in this image.,This is a photo of four cheetahs.,Is this a photo of three lions?,Is this a picture of five cheetahs?
69,69, State, eagle with eyes closed, Is the eagle's eyes open?, What the state of the eagle's eyes?, Closed, Open, This eagle has no eyes, Please describe the state of the eyes of the eagle in this image in detail.,The eagle's eyes are open.,Is the eagle's beak open?,Is this a picture of an eagle with its eyes closed?
70,70, Structural Character, three dogs with no collar, Is this a picture of three dogs with collars sitting on the lawn?, How many of these dogs wearing collars?,0,3,1, Please describe the three dogs' collars if they are wearing collars,This is a picture of three dogs with collars sitting on the lawn.,Is this a picture of three cats with collars sitting on the lawn?,Is this a picture of three dogs without collars?
71,71, Structural Character, elephant with broken tusks, Is the picture an elephant with complete tusks?, What is the condition of this elephant's tusks?, Broken, Complete, 1 Broken and 1 complete, Please descibe this elepant's tusks in detail.,The picture is of an elephant with complete tusks.,Is the picture a giraffe with complete tusks?,Is this a picture of an elephant with broken tusks?
72,72, State, butterfly with wings closed, Are the butterfly's wings opened in the picture?, What is the state of the butterfly's wings in this image?, wings closed, wings open, there is no visible wings of this butterfly in this picture, Please describe the state of the wings of butterfly (closed or open.),The butterfly's wings are opened in the picture.,Are the bird's wings opened in the picture?,Is this a picture of a butterfly with its wings closed?
73,73, Orientation, turtle's head face the right, Is the turtle's head facing left in this picture?, Which direction does the turtle's head face in the picture?, Right, Left, Back, Please describe the direction that turtle's head is is facing.,The turtle's head is facing left in this picture.,Is the turtle's head facing up in this picture?,Is the turtle's head facing to the right?
74,74, Exist, No small fish under the shark, Is there a small fish under the shark?, How many small fish are there under the shark in the image?, No visible small fish, one, two, Please describe the area under the shark.,There is a small fish under the shark.,Is there a small bird under the shark?,Is there a small fish under the shark?
75,75, Exist, No piano bench in front of the piano, Is there a piano bench in front of the piano?, How many piano benches are there in front of the piano?, No visible piano bench,1,2, Please describe the area in front of the piano.,There is a piano bench in front of the piano.,Is there a guitar in front of the piano?,Is there no piano bench in front of the piano?
76,76, Color, a dog with blue eyes, Is this a picture of a dog with red eyes?, What color is the eyes of this dog in this picture?, Blue, Red, Dark-brown, Please describe the color of the dog's eyes.,This is a picture of a dog with red eyes.,Is this a picture of a cat with red eyes?,Is this a dog with blue eyes?
77,77, Exist, No baseball in the image, Is there a baseball in the image?, How many baseball are there in the image?, There is no visible baseball,1,2, Please describe and tell me if there is a visible baseball in this image?,There is a baseball in the image.,Is there a basketball in the image?,Is there no baseball in the image?
78,78, Orientation, Bird facing left, Is this bird facing right?, Which direction does the bird's head face in the picture?,Left, Right, Back, Please describe the direction the bird is facing in this image.,This bird is facing right.,Is this bird facing upwards?,Is this a picture of a bird facing left?
79,79, color, dog with a blue and yellow dog tag, Is this a dog with a red dog tag?, What's the color of is the dog tag?, Yellow and blue, Red, Red and blue, Please descibe the dog's dog tag in detail.,This is a dog with a red dog tag.,Is this a cat with a red dog tag?,Is this a dog with a blue and yellow dog tag?
80,80, color, train with red light, Is this a train with yellow light?, What's the color of the train's light?, Red, Yellow, Green, Please describe the light of this train.,This is a train with yellow light.,Is this a train with blue light?,Is this a picture of a train with a red light?
81,81, Orientation, Insect facing right, Is this insect facing left?, Which direction does the insect's head face in the picture?, Right, Left, Back, Please describe the direction of the insect in this image.,This insect is facing left.,Is this insect facing up?,Is this a picture of an insect facing right?
82,82, State, Squirrel with its arm crossed, Is this a squirrel with its arms spread out?, What are the squirrel's arms like in this image?, Crossed, Spread out, Reaching out, Please describe the movement of this squirrel's forelimbs,This is a squirrel with its arms spread out.,Is this a squirrel with its tail spread out?,Is this a picture of a squirrel with its arms crossed?
83,83, color, Man wearing a black cap, Is this man wearing a beige cap?, What color is the cap that the man is wearing?, Black, Beige, White,  Please describe the cap that the man is wearing.,This man is wearing a beige cap.,Is this man wearing a red hat?,Is this a man wearing a black cap?
84,84, Orientation, dog facing left, Is the dog facing right?, Which direction does this dog face in this image?, Left, Right, Back, Please describe the direction the dog's face is facing.,The dog is facing right.,Is the cat facing right?,Is this a picture of a dog facing left?
85,85, Exist, No tennis ball in the image, Is there a tennis ball in this image?, How many tennis balls are there in the image?, There is no visible tennis ball,1,2, Please describe where is the tennis ball in this image.,There is a tennis ball in this image.,Is there a basketball in this image?,Is there a tennis ball in the image?
86,86, Spatial, The minute hand point between 2 and 3, Is the minute hand directly pointing directly at 2?, Where is the minute hand point at?, between 2 and 3, directly point at 2, between 1 and 2, Please describe the minute hand of the clock in detail.,The minute hand is directly pointing at 2.,Is the hour hand directly pointing at 2?,Is the minute hand pointing between 2 and 3?
87,87, state, a gun without a bayonet, Is this a photo of a man in military uniform holding a gun with a bayonet?, What is held by this man in the military uniform?, A gun without bayonet, A gun with bayonet, A bayonet, Please describe the gun and bayonet (if there is) held by the man in detail ,This is a photo of a man in military uniform holding a gun with a bayonet.,Is this a photo of a man in civilian clothes holding a sword?,Is this a gun without a bayonet?
88,88, Structural Character,center of the flower indenting,Is the center of the flower protruding in this picture?, What's the shape of the flower's center(protruding? indenting? and etc.), center of the flower indenting, center of the flower protruding, center of the flower is flat, Please describe the concave and convex condition of the center of the flower (is protruding or indenting?),The center of the flower is protruding in this picture.,Is the center of the sunflower protruding in this picture?,Is this the center of the flower indenting?
89,89, color, dog with green (or cyan) eyes, Is this a picture of a dog with blue eyes?, What color is the eyes of this dog in this picture?, green or cyan, blue, red, Please describe the color of the dog's eyes.,This is a picture of a dog with blue eyes.,Is this a picture of a cat with blue eyes?,Is this a dog with green (or cyan) eyes?
90,90, Orientation, Elephant facing right, Is this elephant facing left?, Which direction does the elephant's head face in the picture?, Right, Left, Back, Please describe the direction of the elephant in this image(is it facing right? left? forward?).,This elephant is facing left.,Is this elephant facing forward?,Is this a picture of an elephant facing right?
91,91, Structural Character, Snake lying on fingers, Is this a little snake lying on the palm of a hand?, Where is the little snake lying on?, Fingers, Palm of the hand, Wrist, Please describe where the snake is lying on.,This is a picture of a little snake lying on the palm of a hand.,Is this a little worm lying on the palm of a hand?,Is this a picture of a snake lying on fingers?
92,92, Structural Character, Snake lying on palms, Is the little snake lying on the fingers?, Where is the little snake lying on?, Palm of the hand, Fingers, Wrist, Please describe where the snake is lying on.,The little snake is lying on the fingers.,Is the little bird sitting on the fingers?,Is this a picture of a snake lying on palms?
93,93, Camera Perspective, Zebra facing right, Is the zebra facing left?, Which direction is the zebra facing at?, Right, Left, Back, Please describe which direction is the zebra facing in this picture.,The zebra is facing left.,Is the zebra facing forward?,Is this a picture of a zebra facing right?
94,94, State, Dog's mouth not visiable, Is the dog's mouth open?, What is the state of the dog's mouth?, Not fully visiable, Closed, Open, Please describe the dog's mouth in detail.,The dog's mouth is open.,Is the dog's tail wagging?,Is the dog's mouth not visible in this picture?
